sample success SP-Score Modeler SPFN SPFP Compression Compression TC s h:m:s max_rss max_vms max_uss max_pss io_in io_out mean_load cpu_time
ghf1_200_1 1 0.9197086854882215 0.9181402028543219 0.08029131451177851 0.08185979714567815 (naive) 1.0053380782918149 0.7216699801192843 496.4402 0:08:16 7577.97 123536.26 7189.48 7284.14 1.99 4.69 197.90 1045.50
aldosered_100_1 1 0.8935816428333888 0.9089986468200271 0.10641835716661119 0.09100135317997293 (naive) 1.0207253886010363 0.7261538461538461 344.1278 0:05:44 6776.62 123607.79 6389.25 6574.49 1.99 3.92 187.84 718.54
mofe_100_0 1 0.8384915865384616 0.8435610640870617 0.16150841346153844 0.15643893591293834 (naive) 1.0032840722495895 0.6226415094339622 430.7909 0:07:10 7442.23 123665.83 7054.43 7148.50 1.99 4.54 189.63 910.22
Ald_Xan_dh_2_1000_3 1 0.8364626361246714 0.8400113132836806 0.16353736387532858 0.15998868671631938 (naive) 1.0225988700564972 0.6274038461538461 232.2788 0:03:52 6737.74 123609.99 6350.06 6535.32 1.98 5.74 179.79 471.93
HLH_20_0 1 0.938610662358643 0.938610662358643 0.06138933764135701 0.06138933764135701 (naive) 1.0 0.8690476190476191 212.9001 0:03:32 5276.09 123600.41 4887.97 4985.83 1.99 4.03 167.93 449.07
flav_20_0 1 0.8028482421005786 0.802491103202847 0.1971517578994214 0.197508896797153 (naive) 1.0273224043715847 0.4685714285714286 322.3966 0:05:22 5477.66 123537.86 5089.17 5214.57 1.99 4.02 205.29 729.32
tms_200_3 1 0.9716583684412102 0.965372907153729 0.02834163155878977 0.03462709284627097 (naive) 0.9943977591036415 0.8912280701754386 298.6746 0:04:58 7436.00 123472.24 7409.75 7415.91 1.99 4.21 190.74 661.55
zf-CCHH_100_0 1 0.9375668926150553 0.9319148936170213 0.062433107384944675 0.06808510638297871 (naive) 1.0512820512820513 0.7428571428571429 134.9266 0:02:14 5256.00 123536.26 4868.18 4972.46 1.99 4.09 103.81 260.05
myb_DNA-binding_20_0 1 0.9679358717434869 0.9564356435643564 0.03206412825651306 0.0435643564356436 (naive) 1.0 0.8392857142857143 215.7282 0:03:35 5279.23 123471.39 4891.30 5016.63 1.99 3.95 162.28 422.07
ghf13_1000_0 1 0.6551855686958418 0.6451301314730347 0.34481443130415823 0.35486986852696534 (naive) 0.9792332268370607 0.26825127334465193 408.8215 0:06:48 7825.21 123802.23 7437.11 7531.52 1.98 6.15 183.94 779.91
kringle_1000_0 1 0.9385435168738899 0.9279943800491746 0.06145648312611007 0.07200561995082544 (naive) 1.03 0.7752808988764045 150.2361 0:02:30 6544.63 123539.18 6156.35 6250.47 1.99 5.23 126.15 221.78
