sample success SP-Score Modeler SPFN SPFP Compression Compression TC s h:m:s max_rss max_vms max_uss max_pss io_in io_out mean_load cpu_time
flav_500_3 1 0.8175344904316867 0.8252470799640611 0.1824655095683133 0.1747529200359389 (naive) 1.0382513661202186 0.5428571428571428 186.3639 0:03:06 6897.20 123528.84 6552.57 6666.38 1.98 6.66 127.18 294.08
myb_DNA-binding_200_0 1 0.9398797595190381 0.9287128712871288 0.06012024048096187 0.07128712871287124 (naive) 1.0 0.7678571428571429 168.8097 0:02:48 6392.32 123525.09 6049.53 6133.99 1.99 5.55 111.91 260.99
tRNA-synt_2b_500_0 1 0.5384930384930385 0.5096899224806202 0.46150696150696147 0.4903100775193798 (naive) 0.9100642398286938 0.25290697674418605 223.6937 0:03:43 7245.02 123530.34 6900.15 7010.20 1.98 7.12 131.84 348.94
cah_200_1 1 0.866580310880829 0.8771853146853147 0.13341968911917101 0.12281468531468531 (naive) 1.043010752688172 0.6494464944649446 223.1305 0:03:43 7616.34 123468.98 7271.21 7354.50 1.99 5.67 142.76 422.89
ldh_200_3 1 0.8660864477437286 0.8559450668594145 0.13391355225627144 0.14405493314058548 (naive) 1.0 0.5351351351351351 212.1282 0:03:32 6900.55 123596.93 6555.69 6639.35 1.99 5.61 164.40 411.78
zf-CCHH_500_0 1 0.9432750624331074 0.9389204545454546 0.056724937566892564 0.061079545454545414 (naive) 1.1025641025641026 0.7428571428571429 149.3955 0:02:29 6362.27 123663.63 6034.06 6140.22 1.98 6.02 108.89 241.98
kunitz_1000_2 1 0.9893069306930693 0.9893069306930693 0.010693069306930703 0.010693069306930703 (naive) 1.0 0.95 162.3337 0:02:42 6486.80 123663.73 6142.88 6252.63 1.96 7.06 114.37 241.71
lyase_1_20_1 1 0.41358024691358025 0.4077409931840312 0.5864197530864197 0.5922590068159688 (naive) 0.9823874755381604 0.02584493041749503 532.0505 0:08:52 8264.27 123523.48 7919.96 8023.40 1.99 5.10 199.83 1146.78
hr_100_1 1 1.0 1.0 0.0 0.0 (naive) 1.0 1.0 212.0094 0:03:32 6483.75 123587.69 6139.44 6227.95 501.99 5.34 116.67 262.49
flav_200_1 1 0.7961726746773475 0.8051305130513051 0.20382732532265246 0.19486948694869488 (naive) 1.0327868852459017 0.44571428571428573 197.2026 0:03:17 6861.38 123589.95 6517.40 6627.25 1.99 5.47 134.19 327.87
ghf13_1000_1 1 0.6414518502370702 0.6460643319793611 0.3585481497629298 0.3539356680206389 (naive) 1.02555910543131 0.30560271646859083 438.7406 0:07:18 8603.16 123534.29 8258.13 8421.68 41.96 9.84 216.95 970.26
ace_50_3 1 0.6341691117631368 0.6688704459136307 0.36583088823686316 0.33112955408636935 (naive) 1.1666666666666667 0.3771626297577855 494.0543 0:08:14 11011.79 123591.52 10686.85 10823.68 1.99 5.19 183.70 1020.36
PDZ_100_1 1 0.8179723502304147 0.8236658932714617 0.1820276497695853 0.17633410672853833 (naive) 1.0 0.6262626262626263 192.0006 0:03:12 6546.37 123526.14 6202.95 6313.08 1.99 5.54 132.08 353.39
egf_500_3 1 0.7884986491702045 0.7732778198334594 0.2115013508297955 0.22672218016654055 (naive) 1.0140845070422535 0.36764705882352944 155.6551 0:02:35 6386.82 123528.73 6042.51 6125.73 1.98 5.98 114.00 268.40
HLH_100_1 1 0.9111470113085622 0.9141004862236629 0.08885298869143776 0.08589951377633709 (naive) 1.0 0.7976190476190477 193.6626 0:03:13 6432.66 123590.02 6105.01 6260.49 1.99 5.51 138.82 323.76
hla_500_2 1 1.0 1.0 0.0 0.0 (naive) 1.0 1.0 187.5242 0:03:07 7151.12 123596.90 6806.11 6916.30 1.98 6.83 129.18 306.16
kringle_1000_1 1 0.9378330373001776 0.9289232934553132 0.06216696269982236 0.07107670654468679 (naive) 1.02 0.7415730337078652 170.8446 0:02:50 6552.53 123590.25 6210.12 6321.01 1.97 7.25 140.28 285.38
cyclo_1000_2 1 0.8929765886287625 0.9012658227848102 0.1070234113712375 0.09873417721518984 (naive) 1.0147783251231528 0.7671957671957672 252.0871 0:04:12 7096.20 123529.30 6776.38 6927.31 73.96 8.07 127.27 334.94
p450_500_1 1 0.2587291795188155 0.4298011887681902 0.7412708204811844 0.5701988112318098 (naive) 1.72265625 0.028056112224448898 359.2743 0:05:59 9158.64 123530.38 8813.48 8922.17 1.98 8.24 174.54 672.29
GEL_50_0 1 0.6009950248756218 0.594488188976378 0.39900497512437816 0.405511811023622 (naive) 0.9933333333333333 0.2945205479452055 262.5339 0:04:22 6543.40 110949.34 6198.65 6281.89 229.99 5.32 146.17 385.44
zf-CCHH_20_2 1 0.8915447734570103 0.8886913229018493 0.10845522654298967 0.11130867709815073 (naive) 1.0769230769230769 0.6 230.7760 0:03:50 6352.88 110845.71 6326.29 6332.90 9.99 5.47 139.76 327.56
annexin_200_1 1 1.0 1.0 0.0 0.0 (naive) 1.0 1.0 200.9866 0:03:20 6513.51 110957.74 6168.96 6279.02 173.99 5.79 133.41 273.18
